iter	Passed	Remaining
0	152	152312
1	155	77487
2	157	52393
3	159	39812
4	162	32270
5	164	27262
6	167	23715
7	169	21009
8	171	18909
9	174	17265
10	176	15907
11	179	14792
12	181	13798
13	183	12942
14	185	12199
15	187	11540
16	189	10976
17	192	10485
18	194	10038
19	196	9651
20	199	9291
21	201	8971
22	204	8671
23	206	8401
24	208	8150
25	211	7919
26	213	7703
27	216	7518
28	219	7334
29	221	7149
30	222	6969
31	225	6822
32	227	6669
33	229	6518
34	231	6385
35	233	6252
36	235	6125
37	237	6000
38	239	5904
39	241	5803
40	243	5701
41	245	5604
42	247	5517
43	250	5432
44	252	5354
45	254	5278
46	256	5202
47	258	5130
48	260	5061
49	263	4998
50	265	4939
51	268	4886
52	270	4827
53	272	4774
54	274	4717
55	277	4676
56	280	4639
57	282	4595
58	286	4564
59	288	4516
60	290	4473
61	292	4425
62	294	4379
63	296	4342
64	298	4296
65	300	4252
66	302	4205
67	303	4154
68	305	4118
69	307	4080
70	308	4041
71	311	4010
72	313	3979
73	315	3942
74	316	3908
75	318	3867
76	319	3826
77	320	3786
78	321	3746
79	322	3710
80	323	3672
81	324	3636
82	327	3615
83	328	3582
84	329	3544
85	330	3509
86	330	3471
87	331	3438
88	332	3408
89	334	3377
90	335	3349
91	336	3319
92	337	3289
93	338	3260
94	340	3241
95	342	3223
96	344	3202
97	345	3176
98	346	3152
99	347	3127
100	348	3104
101	349	3076
102	350	3052
103	351	3031
104	353	3010
105	354	2989
106	356	2973
107	358	2958
108	359	2940
109	361	2924
110	363	2908
111	364	2888
112	365	2868
113	366	2847
114	367	2828
115	370	2821
116	372	2809
117	374	2797
118	375	2781
119	377	2765
120	378	2748
121	379	2731
122	380	2710
123	381	2693
124	382	2678
125	384	2669
126	386	2655
127	387	2636
128	388	2622
129	389	2605
130	390	2587
131	390	2570
132	391	2553
133	392	2536
134	393	2521
135	394	2505
136	395	2489
137	396	2473
138	397	2463
139	398	2450
140	400	2437
141	401	2423
142	401	2407
143	402	2392
144	403	2378
145	404	2364
146	404	2349
147	405	2335
148	406	2321
149	407	2307
150	407	2293
151	408	2279
152	409	2266
153	410	2254
154	412	2248
155	413	2236
156	414	2226
157	415	2214
158	416	2202
159	417	2189
160	417	2177
161	418	2165
162	419	2153
163	420	2141
164	420	2130
165	421	2119
166	423	2110
167	424	2100
168	425	2091
169	427	2085
170	429	2080
171	429	2069
172	430	2059
